OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587731499725815841,166.9996118,55.88077883,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=166.99961182&dec=55.8807788276,0.0504907,0.97142857,0,-19.54840469,-21.58150673,-22.76288223,-22.99250984,11.12518501,13.21080399,0.89584666,-2.92E-01,18.7824192,3.42E+14,7.79E-01
587734949127061642,148.4496786,10.23908375,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=148.449678568&dec=10.2390837504,0.053634,0.83936977,0.02326111,-17.50078773,-19.72478104,-20.7171154,-20.81974983,10.33014774,4.66526794,0.89571178,-7.63E-01,68.4123764,4.52E+14,7.38E-01
588848899366584577,159.0234201,-0.5188491,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=159.023420106&dec=-0.518849096483,0.0358734,1,0,-18.48974228,-20.09417343,-21.18431854,-21.44098282,10.4804554,10.72498322,0.84407812,-8.40E-01,25.16565323,4.52E+13,7.51E-01
588013384353972362,182.0576211,53.40601867,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=182.057621075&dec=53.4060186698,0.0825742,0.89285719,0,-18.4021244,-20.44736862,-21.59629631,-21.78491402,10.65602589,8.14126778,0.9150238,9.80E-01,1.25866735,1.22E+14,7.78E-01
587738948825645199,167.9790907,39.96426031,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=167.979090697&dec=39.9642603089,0.0753109,0.9666667,0,-19.61215019,-21.179039,-22.27264595,-22.55450821,10.91273499,10.9797411,0.6083166,5.50E-01,0.92502403,1.01E+14,7.43E-01
588848899355902304,134.5624333,-0.46782132,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=134.562433345&dec=-0.467821322607,0.0709093,0.83999997,0.04,-18.46809578,-20.12680054,-21.24333191,-21.51076317,10.50290871,4.05969238,0.80307263,-6.96E-01,11.14475346,6.25E+13,7.60E-01
587727180596445313,358.8624048,-9.07591769,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=358.862404826&dec=-9.07591769436,0.0757212,0.91666669,0,-20.04852104,-22.05768394,-23.20837593,-23.45804405,11.30766582,14.1079731,0.92547214,8.66E-01,1.75989413,1.81E+14,7.77E-01
588017992300953669,205.7911684,10.19191354,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=205.791168383&dec=10.1919135448,0.0803532,0.84331751,0.09714824,-18.58660316,-20.23530769,-21.31162643,-21.57682419,10.53896236,5.37820959,0.7102766,7.03E-01,-999,-9.99E+02,7.50E-01
588010880374079642,190.0170044,6.02141884,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=190.017004409&dec=6.02141883806,0.0755831,1,0,-19.49128342,-21.7073288,-22.87486839,-22.93522644,11.18308353,13.91940975,0.75135291,1.19E+00,0.00000012,1.37E+14,7.39E-01
587739405699186807,160.1167796,31.31959286,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=160.116779613&dec=31.3195928564,0.0745879,0.83333331,0.1111111,-19.11821556,-20.83925438,-21.98169327,-22.25435829,10.81674671,5.25769186,0.745471,4.12E-01,30.14136124,6.57E+14,7.74E-01
